,time,sex,age,is_citizen,region,where_live,lang_before,lang_after,movies_before,movies_after,content_before,content_after
117,2023/02/01 11:00:11 дп GMT+2,Female,24,yes,Сentral-north,temp_abroad,5,2,['russian'],['Ukrainian'],3,2
118,2023/02/01 11:00:50 дп GMT+2,Female,37,yes,Сentral-north,temp_abroad,5,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English', 'other']",5,2
119,2023/02/01 11:13:58 дп GMT+2,Male,29,yes,Сentral-north,in_Ukraine,3,3,['russian'],['Ukrainian'],4,3
120,2023/02/01 11:17:36 дп GMT+2,Male,26,yes,Сentral-north,in_Ukraine,1,1,['Ukrainian'],['Ukrainian'],2,2
121,2023/02/01 11:38:01 дп GMT+2,Female,38,yes,Сentral-north,in_Ukraine,3,1,['Ukrainian'],['Ukrainian'],3,1
122,2023/02/01 11:39:30 дп GMT+2,Male,39,yes,Сentral-north,in_Ukraine,5,1,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",4,1
123,2023/02/01 11:41:35 дп GMT+2,Female,32,yes,Сentral-north,in_Ukraine,2,1,['Ukrainian'],['Ukrainian'],2,1
124,2023/02/01 11:46:09 дп GMT+2,Male,27,yes,Сentral-north,in_Ukraine,5,3,"['Ukrainian', 'russian']","['Ukrainian', 'russian']",5,2
124,2023/02/01 11:46:09 дп GMT+2,Male,27,yes,South,in_Ukraine,5,3,"['Ukrainian', 'russian']","['Ukrainian', 'russian']",5,2
125,2023/02/01 11:47:28 дп GMT+2,Male,30,yes,Сentral-north,in_Ukraine,5,3,['Ukrainian'],['Ukrainian'],3,2
126,2023/02/01 11:50:31 дп GMT+2,Male,35,yes,Сentral-north,in_Ukraine,3,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
126,2023/02/01 11:50:31 дп GMT+2,Male,35,yes,West,in_Ukraine,3,2,"['Ukrainian', 'English', 'russian']","['Ukrainian', 'English']",3,1
127,2023/02/01 11:52:03 дп GMT+2,Female,42,yes,Сentral-north,in_Ukraine,5,2,['Ukrainian'],['Ukrainian'],3,1
128,2023/02/01 11:54:36 дп GMT+2,Female,33,yes,Сentral-north,in_Ukraine,5,3,['russian'],['Ukrainian'],2,1
129,2023/02/01 11:55:15 дп GMT+2,Male,24,yes,Сentral-north,in_Ukraine,5,2,['russian'],['Ukrainian'],4,1
130,2023/02/01 1:45:04 пп GMT+2,Female,22,yes,Сentral-north,in_Ukraine,1,1,"['Ukrainian', 'russian']",['Ukrainian'],4,2
